time,lat,lon,tasminAdjust,tasmaxAdjust,prAdjust,rsdsAdjust,month
1950-01-31,47.75,-83.25,-38.571,-0.22210693,43.04462974796479,300.38806,1
1950-02-28,47.75,-83.25,-31.682205,5.8144226,61.88203189485648,460.9297,2
1950-03-31,47.75,-83.25,-29.371155,13.121033,53.082664411340374,704.8472,3
1950-04-30,47.75,-83.25,-20.09517,22.160858,60.736308885680046,949.02954,4
1950-05-31,47.75,-83.25,-6.1522827,24.20102,83.5862669551716,989.27905,5
1950-06-30,47.75,-83.25,-1.0025635,29.57663,53.89979108767875,1249.0707,6
1950-07-31,47.75,-83.25,4.709076,31.163452,88.2323489713599,1034.9241,7
1950-08-31,47.75,-83.25,3.6584167,27.724152,74.09750847145915,941.8378,8
1950-09-30,47.75,-83.25,-9.84787,28.767181,45.4823877371382,581.9075,9
1950-10-31,47.75,-83.25,-10.18396,20.709595,59.60281587540521,421.11426,10
1950-11-30,47.75,-83.25,-19.317596,9.5625305,44.37140296577127,289.48422,11
1950-12-31,47.75,-83.25,-27.326904,3.1773071,52.73419619043125,215.51868,12
1951-01-31,47.75,-83.25,-38.63539,4.993469,67.73725629536784,297.91287,1
1951-02-28,47.75,-83.25,-33.102875,1.0914307,80.41302666606498,439.61984,2
1951-03-31,47.75,-83.25,-24.944427,4.867096,14.381899374711793,773.29504,3
1951-04-30,47.75,-83.25,-16.942993,17.923798,55.381631531054154,898.4281,4
1951-05-31,47.75,-83.25,-7.3710327,22.511688,118.37305054596072,893.43427,5
1951-06-30,47.75,-83.25,0.94924927,29.43927,88.35965950820537,1052.7086,6
1951-07-31,47.75,-83.25,4.2347107,26.573578,109.80493082097382,956.4322,7
1951-08-31,47.75,-83.25,2.9717712,24.782013,96.46958396151604,903.16156,8
1951-09-30,47.75,-83.25,-6.905304,21.954102,64.77009074369562,618.0421,9
1951-10-31,47.75,-83.25,-10.330902,22.777527,47.09928001066146,427.40988,10
1951-11-30,47.75,-83.25,-22.508682,10.220032,78.86779961554566,250.04689,11
1951-12-31,47.75,-83.25,-41.336243,2.7767944,72.09326490119565,210.24611,12
1952-01-31,47.75,-83.25,-38.448914,4.3812866,60.2237298633554,301.05597,1
1952-02-28,47.75,-83.25,-30.491425,3.2815247,63.03160494790063,469.96744,2
1952-03-31,47.75,-83.25,-20.916183,12.222351,27.10501414621831,651.15717,3
1952-04-30,47.75,-83.25,-13.108002,19.33493,50.47969359038689,858.72906,4
1952-05-31,47.75,-83.25,-4.9395447,25.492249,44.791031403292436,1088.6544,5
1952-06-30,47.75,-83.25,0.9923706,28.932617,104.69269004897797,1078.5789,6
1952-07-31,47.75,-83.25,3.6459045,32.93799,78.58784410200315,1190.2778,7
1952-08-31,47.75,-83.25,1.9089661,31.910187,93.47302137121005,998.8634,8
1952-09-30,47.75,-83.25,-4.1448364,27.130524,75.51972937071696,624.5909,9
1952-10-31,47.75,-83.25,-16.1474,16.502167,85.21654909309291,345.9799,10
1952-11-30,47.75,-83.25,-24.098907,18.839905,74.92940763331717,242.69742,11
1952-12-31,47.75,-83.25,-39.868057,0.6800537,36.84733293775935,238.13113,12
1953-01-31,47.75,-83.25,-35.64662,10.760712,73.98862362024374,280.65265,1
1953-02-28,47.75,-83.25,-38.536896,-1.4762878,23.832198035961483,498.6813,2
1953-03-31,47.75,-83.25,-27.566986,11.412598,56.145545141771436,607.46515,3
1953-04-30,47.75,-83.25,-10.131012,19.45813,43.22045134831569,843.2524,4
1953-05-31,47.75,-83.25,-6.556885,25.136932,65.48059312881378,1075.1338,5
